sound	source	issue	date	page
TIK-TIKA	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TIKKA TIK TIKKA TIKKAK TIKKAK TIKKIK TIKKIK TIKA TIKIK TIKKA TIKAKADA KAKADA TAK TIKIK TIK TIKATIKA TIK TAKADA TIKAK TIK-TIKA TIKAK-KAK... BINGCHIKA-CHUNK... THWIZZIK... ZAK!TIK-TIKATAK TIKKIK TIKKIK TIK-TIKA TIKKIK TIKKAK TIKKAK TIK TIKIK TIKITY TIK TIK TIKKAK TIKKAK TAK KAKA TAKAKA TIKKIK KIK TAKKAK KAK... BINGCHIKA-CHUNK... THWIZZIK... ZAK!TIK-TIKKA-TIKKAK TIK TIK TIKAKATA KAKATA..	WOMAN USING TYPEWRITER	119	JUN 68	PAGE 48
TING	MAN FLIPPING COIN	131	DECEMBER 1969	PAGE 8
TING	DUNGEON GUARD FLIPPING A COIN	259	DEC 1985	PAGE 43
TING	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
TING ALING ALING	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
TING-ALING	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
TINGALINGA	BICYCLE BELL RINGING	95	JUNE 1965	PAGE 30
TIP-TIPPITY TAP	TADPOLE TAP DANCING	124	JANUARY 1969	PAGE 27
TOING	MUSICAL NOTE FLAG POPPING OUT OF FLUTE	206	APR 1979	PAGE 23
TOK	DRIVER HITTING GOLF BALL	125	MARCH 1969	PAGE 13
TOK TOK TOK TOK	CAVEMAN CHISELING OUT A WHEEL	239	JUNE 1983	PAGE 11
TONG	BRICK HITTING A GUY ON THE HEAD	244	JAN 1984	PAGE 48
TONG	BELL	266	OCTOBER 1986	PAGE 9
TONK	KING KONG JUMPING ON BUILDINGS	262	APRIL 1986	PAGE 24
TOOD TOOD	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TOODLE	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
TOOF THAFF FAK	MAN SPITTING FLY OUT OF MOUTH	168	JULY 1974	PAGE 34
TOOMP, FWOP, FWIFFFFFF	CAR HITTING INFLATED MAN,WHO BOUNCES INTO THE AIR CONTINUING TO INFLATE	255	JUNE 1985	PAGE 27
TOON	MAN TAPPING HUMAN VOLLEYBALL INTO AIR	170	OCT 1974	PAGE 16
TOONG	HIPPIE HITTING CONSTRUCTION WORKER WITH WROUGHT IRON FLOWER	139	DECEMBER 1970	PAGE 15
TOONK	KING KONG JUMPING ON BUILDINGS	262	APRIL 1986	PAGE 24
TOOOOO	EMERGENCY BROADCAST SYSTEM WARNING	238	APRIL 1983	PAGE 13
TOOWIT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TOOWOO	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TROMP TROMP TROMP	PRISONERS JUMPING UP AND DOWN	67	DECEMBER 1961	PAGE 48
TROMP TROMP,TEEOO TEEOO	ATAT TYPE VEHICLE CHASING AND SHOOTING EWOK	243	DEC 1983	PAGE 41
TUBBA TUBBA TUBBA TUBBA	GORILLA BEATING HIS CHEST	250	OCT 1984	PAGE 14
TWEEDLE	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
TWEEN SPWANG	MAN HAVING PISTOLS SHOT OUT OF HANDS	216	JULY 1980	PAGE 14
TWOK	DANCING GENTEEL BEN KNOCKING GUN OUT OF MAN'S HAND	122	OCTOBER 1968	PAGE 12
TWONG	WOMAN HITTING HARP	57	SEPTEMBER 1960	PAGE 48
TWONG	ROBIN HOOD FIRING ARROW	71	JUNE 1962	PAGE 29
TWONG	VIOLIN BOW SLIPPING	136	JULY 1970	PAGE 13
TWONG	THIRSTY FIRING A SNAKE AS AN ARROW	235	DEC 1982	PAGE 47
TWOYYOYYOING THUK UGH	PRINCE VALIANT PLUCKING A VERY TIGHT BOWSTRING	210	OCT 1979	PAGE 22
TZING	POWER SAW	128	JULY 1969	PAGE 35
TZING TZONG TZOONG TZWANG	CONEHEAD HACKING UP PEOPLE WITH SWORD	235	DEC 1982	PAGE 47
UK	MAN CHOKING	268	JANUARY 1987	PAGE 42
ULP!	PRINCESS SWALLOWING FROG	196	JAN 1978	BACK COVER
UMPF!	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
UMPH!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
UNKLIK	MAN BEING RELEASED FROM DUNGEON WALL	232	JULY 1982	PAGE 44
URRSSSH URSSHHH	HIPPIE SMOKING PIPE	116	JAN 68	PAGE 14
UUUUURP!	FLOWER BURPING	45	MARCH 1959	PAGE 40
VAROOM ROWM	CARS RACING DOWN A STREET	209	SEP 1979	PAGE 13
VAROOM! VROOM-SPAK! BROOM SPUT- POW!!! GROWRROOOM!!	MOTORCYCLE ENGINE	68	JANUARY 1962	PAGE 8
VARROOM SKREEK	POLICE CAR ACCELERATING QUICKLY	185	SEPT 1976	PAGE 11
VOOFEN! VOOFEN!	THE KATZENJAMMER KID'S DOG BARKING AT THEM IN GERMAN	210	OCT 1979	PAGE 23
VOOM VOOM	DARTH VADER'S AND LUKE SKYWALKER'S LIGHTSABERS COMING ON	243	DEC 1983	PAGE 42
VOOMAROOMA	MAN GOING DOWN A HILL IN A TWO-WHEEL DEVICE	222	APRIL 1981	PAGE 31
VOW	AIRPLANE LIFTING OFF	93	MAR 1965	PAGE 7
VOWM	AIRBOAT	122	OCTOBER 1968	PAGE 9
VOWM	SPEEDING MOTORCYCLE	185	SEPT 1976	PAGE 11
VROOM	CROP DUSTER	263	JUNE 1986	PAGE 35
VROOM	CAR	135	JUNE 1970	PAGE 29
VROOM VROOM	A HOTEL MAID RUNNING A VACUUM CLEANER	222	APRIL 1981	PAGE 11
VROON	AIRBOAT	122	OCTOBER 1968	PAGE 9
VROOON VREEN VOWN	CARS PASSING A HITCHHIKER UP	69	MARCH 1962	PAGE 48
VWOO	JANE SWINGING ON A VINE	228	JAN 1982	PAGE 10
WAK (NINE TIMES)	ESKIMO BEATING A FISH	178	OCT 1975	PAGE 48
WALK	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
WAM WAM WAM WAM WAM	HAMMERING SIGN	196	JAN 1978	PAGE 25
WAP	MAN KICKING WOMAN OF A BUILDING LEDGE	215	JUNE 1980	BACK COVER
WAP WAP WAP WAP	MAN DRIVING A STAKE INTO DRACULA	213	MARCH 1980	PAGE 16
WAWKLE!!!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
WEE HAAH	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
WEE WEE WEE WEE WEE	POLICE SIREN	185	SEPT 1976	PAGE 12
WEE WEE WEE WEE WEE WEE WEE	POLICE SIREN	185	SEPT 1976	PAGE 11
WEEEEEEE	EMERGENCY WARNING SYSTEM ALERT	238	APRIL 1983	PAGE 12
WEEEOOOOWEEEOOO WEEEOOOO WEEOOOO WEEEOOOOWEE	POLICE OR FIRE SIREN	215	JUNE 1980	BACK COVER
WEEEOOOWEEEOOOWEE	AMBULANCE SIREN	197	MAR 1978	PAGE 37
WEEOOWEEEOOOO WEEEOOOO	FIRE TRUCK SIREN	219	DEC 1980	PAGE 14
WEEOOWEEOOOO	POLICE MOTORCYCLE SIREN	222	APRIL 1981	PAGE 31
WHAK DINK KLANK KLING DOINK PLOP	BASEBALL BOUNCING IN ENCLOSED STADIUM	107	DEC 66	PAGE 28
WHAM WHAM WHAM WHAM WHAM	USING COCONUT TO NAIL SIGN TO PALM TREE	190	APR 1977	PAGE 32
WHAM PLAM KLOON BOONG KLOONG POONG KAPLAM SPMAM	BOY KICKING THE HECK OUT OF A VENDING TYPE MACHINE	255	JUNE 1985	PAGE 48
WHAP	A LADY SLEEPING BANNER WHILE SLEEPING	221	MARCH 1981	PAGE 16
WHAP!	MAN GETTING HIT UPSIDE THE HEAD BY WIFE	99	DEC 1965	PAGE 9
WHAP SPMAMP WUNK KACHONK	SCHOOLBOY BEING BEATEN TO A PULP BY OTHER CLASSMATES	244	JAN 1984	PAGE 23
WHEEAH! WHEEAH!	MAN IN PSYCHIATRIST OFFICE THINKING HE'S A HORSE	66	OCTOBER 1961	PAGE 9
WHIR WHIR WHIR WHIR	WINDOW WASHERS SAFETY BUCKET	212	JAN 1980	PAGE 12
WHIR! SNIP WHIRR SNIP	TAPE BEING PULLED FROM TAPE DISPENSER AND CHOPPED OFF, THEN STRING BEING UNSPOOLED FROM SAME DISPENSER AND CLIPPED OFF	60	JAN 1961	7-8
WHIRR	MOVIE CAMERA ROLLING	140	JAN 1971	PAGE 11
WHIRR WHIRR	MOVIE CAMERA	140	JANUARY 1971	PAGE 11
WHIRR! SNIP WHIRR! SNAP!	TONGUE BEING PULLED FROM BOSS'S HEAD AND CHOPPED OFF USING HIS TEETH, THEN SINGLE HAIR STRETCHED FROM SAME HEAD AND CLIPPED OFF	60	JAN 1961	7-8
WHISK	PRINCE LIFTING PRINCESS INTO HIS ARMS	91	DEC 1964	PAGE 19
WHOMP CHOMP RIP SKLIK URP GLORK	HUNGRY CAVE FAMILY EATING	153	SEP 1972	PAGE 17
WHOOOOOOOO	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
WHOOSH	GUST OF WIND	224	JULY 1981	PAGE 16
WINK WINK	EYE WINKING	95	JUNE 1965	PAGE 28
WINK-WINK WINKITY WINK BLINK	CHIMPANZEE WINKING	119	JUN 68	PAGE 10
WONG THUK!	LITTLE JOHN SHOOTING ARROW AT A GALLOWS	71	JUNE 1962	PAGE 29
WONK	PRISONER PUNCHING GUARD	176	JULY 1975	PAGE 15
WOOOSH	MAGIC CARPET LEVITATING QUICKLY	161	SEPT 1973	PAGE 21
WOOOSH (4 TIMES)	TARZAN SWINGING ON A VINE	119	JUN 68	10-11
WOOPWOOPWOOP	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
WUNK	DOCTOR KICKING A TV SET AND A PATIENT	175	JUNE 1975	PAGE 42
WUNK	PRISONER PUNCHING GUARD	176	JULY 1975	PAGE 14
WUNK	PEOPLE HITTING HIJACKER	264	JULY 1986	PAGE 36
XMNG!	MAN SWEARING	31	FEBRUARY 1957	PAGE 29
YAAH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
YAAUGH	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
YAHHAH	LAUGHTER	261	MARCH 1986	PAGE 42
YAK	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
YARG!	BRIDE AND GROOM FIGHTING	265	SEPTEMBER 1986	PAGE 32
YARGH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
YEECH!	FAY WRAY	262	APRIL 1986	PAGE 23
YING YING	MASK RUBBER STRAP STRETCHING	87	JUNE 1964	PAGE 10
YIP-YIP	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
YIP-YIP-YIP	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
YOWYOWYOW	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
YUKKLE YUK	LAUGHTER	261	MARCH 1986	PAGE 42
ZAP	TONGUE PROJECTING OUT TO SNATCH FLY	91	DEC 1964	PAGE 19
ZAP GING GING TWONG SPLAT	TWO FROGS CATCHING EACH OTHER WITH TONGUES	118	APR 68	16-17
ZAP POW	LIGHTNING HITTING PEOPLE	133	MARCH 1970	PAGE 15
ZAT	BAND-AID RIPPING OFF SKIN	167	JUNE 1974	PAGE 37
ZAZIK, KATOONG,SPROING	LEVER BEING DEPRESSED THEN FLINGING HAN SOLO FROM HIS FROZEN TOOMB	243	DEC 1983	PAGE 40
ZEEM	RIDER FALLING	274	OCTOBER 1987	PAGE 12
ZIK ZIK ZIK	RUBBING TWIGS TOGETHER	181	MAR 1976	PAGE 48
ZIK ZOCK FOON FIT KLUNK	SOFA UN-FOLDING	152	JUL 1972	PAGE 13
ZIKKA ZAZZIK ZIK ZIK ZIK ZIK ZAZIK ZIK ZIZZAK	MAN DIALING A TELEPHONE	231	JUNE 1982	PAGE 31
ZIKZIKZIK	MAN DIALING TELEPHONE WITH HIS NOSE	272	JULY 1987	PAGE 43
ZIKZIKZIKZIKZIKZIK	MAN DIALING TELEPHONE WITH HIS NOSE	272	JULY 1987	PAGE 43
ZIP	BUG HIDING	172	JAN 1975	PAGE 12
ZIP	ZIPPING CANNONBALLER SUIT	177	SEPT 1975	PAGE 48
ZIT MOP FLOOM FAK SWAT	TABLE AND CHAIRS UN-FOLDING	152	JUL 1972	PAGE 12
ZIT ZITZIZIZIZZZZZZ	SPIDERMAN SLIPPING DOWN A BUILDING	212	JAN 1980	PAGE 13
ZIT-SREEK SKRAK ZIDIT- POW	DRILLING THROUGH CEILING INTO HUMAN HEAD WITH DRILL DYING	87	JUNE 1964	PAGE 40
ZIT-ZIT-ZIT- ZIT-ZAT-ZAT SWIZAP!	WAITER SLICING HAM	127	JUNE 1969	PAGE 28
ZIZ	TAPE MEASURE GOING OUT	156	JAN 1973	PAGE 18
ZIZAZIK ZIK-ZIK ZIZZAK ZIKA-ZIKA	MAN DIALING PUSH BUTTON PHONE	201	SEP 1978	PAGE 48
ZLITZ... PLORF	SNOOPY FALLING ASLEEP ON AN ICY ROOF	210	OCT 1979	PAGE 22
ZOOO TWEEE	BULLETS WHIZZING AND RICOCHETING	179	DEC 1975	PAGE 48
ZOOT	UN-ZIPPING ZIPPER	152	JUL 1972	12-13
ZOWM	A CANNONBALL BEING TOSSED	83	DEC 1963	PAGE 11
ZOWM	TRUCK	135	JUNE 1970	PAGE 29
ZOWNT	VACUUM/POWER SANDER	156	JAN 1973	PAGE 20
ZWEECH	THE PHANTOM CLOSING THE ZIPPER ON HIS PURPLE BODY SUIT	210	OCT 1979	PAGE 23
ZWEEN	SWORD	271	JUNE 1987	PAGE 48
ZWEET	CIVIL WAR SWORD PULLED FROM SCABBARD	163	DEC 1973	PAGE 21
ZWIT FAT	KID PULLING RADIO CORD THROUGH EAR	114	OCT 67	PAGE 9
ZWIT GLAP ZWOT TINK	LIGHT FIXTURE UN-FOLDING	152	JUL 1972	PAGE 12
ZWIT ZWIT ZWIT	BANK ROBBER TURNING SAFE DIAL	222	APRIL 1981	PAGE 48
ZWIT-SPROING	MAN PULLING STRING AND BOXING GLOVE LEAVING HAT	126	APRIL 1969	PAGE 13
ZZIP	ESKIMO UNZIPPING SUIT	170	OCT 1974	PAGE 48
ZZT-CHOMP	BEE BUZZING THEN GETTING EATEN	172	JAN 1975	PAGE 13
ZZZ GLAP	FROG SWALLOWING BUG	196	JAN 1978	BACK COVER
ZZZ ZZZZZZZ ZZZZZZZZ	BEE BUZZING	172	JAN 1975	12-13
ZZZZ	FLY BUZZING	91	DEC 1964	PAGE 19
ZZZZ ZZT-ZNIK SNUFFLE SNORK	SNORING	142	APR 1971	PAGE 29
ZZZZ ZZZZ ZZZZ	LADY SLEEPING DURING CHESS GAME	194	OCT 1977	PAGE 39
ZZZZ ZZZZ ZZZZ ZGLUK	SLEEPING FELLOW HAVING A FISH TOSSED DOWN HIS THROAT	72	JULY 1962	PAGE 9
ZZZZOOWNT	DRILLING THROUGH A FENCE	94	APRIL 1965	PAGE 33
ZZZZZ	GOLF BALL LEAVING TEE	125	MARCH 1969	PAGE 12
ZZZZZZ	TEETH LEAVING CADDY'S MOUTH	125	MARCH 1969	PAGE 12
ZZZZZZ	POWER SAW AND DRILL	156	JAN 1973	PAGE 18
ZZZZZZZ	GOLF BALL LEAVING WATER	125	MARCH 1969	PAGE 13
ZZZZZZZ	DOCTOR SLEEPING	128	JULY 1969	PAGE 35
ZZZZZZZZ	DRILLING INTO CEILING	87	JUNE 1964	PAGE 40
ZZZZZZZZZ	MAN FALLING DOWN WELL	98	OCT 1965	PAGE 12
ZZZZZZZZZZZ	FLY	41	SEPTEMBER 1958	PAGE 23
ZZZZZZZZZZZ	THREE GIRLS SLEEPING	200	JUL 1978	PAGE 14
